Type,Filename or Regex,Version or Message digest,Documentation URL,Provider,Notice,License 1,License 2, License 3
JAVA,com.eclipsesource.rap.aria_0.4.0.20150120-1309.jar,0.4.0.20150120-1309,,EclipseFoundation,,NLIL,,
JAVA,com.fasterxml.jackson.core.jackson-annotations_2.9.7.jar,2.9.7,,fasterxml,,Apache-2.0,,
JAVA,com.fasterxml.jackson.core.jackson-core_2.9.7.jar,2.9.7,,fasterxml,,Apache-2.0,,
JAVA,com.fasterxml.jackson.core.jackson-databind_2.9.7.jar,2.9.7,,fasterxml,,Apache-2.0,,
JAVA,com.fasterxml.jackson.jaxrs.jackson-jaxrs-base_2.9.7.jar,2.9.7,,fasterxml,,Apache-2.0,,
JAVA,com.fasterxml.jackson.jaxrs.jackson-jaxrs-json-provider_2.9.7.jar,2.9.7,,fasterxml,,Apache-2.0,,
JAVA,com.fasterxml.jackson.module.jackson-module-jaxb-annotations_2.9.7.jar,2.9.7,,fasterxml,,Apache-2.0,,
JAVA,com.google.gson.source_2.7.0.v20170129-0911.jar,2.7.0.v20170129-0911,,EclipseFoundation,,EPL-1.0,,
JAVA,com.google.gson_2.7.0.v20170129-0911.jar,2.7.0.v20170129-0911,,EclipseFoundation,,EPL-1.0,,
JAVA,com.google.guava.source_21.0.0.v20170206-1425.jar,21.0.0.v20170206-1425,,EclipseFoundation,,EPL-1.0,,
JAVA,com.google.guava_14.0.1.jar,14.0.1,,Google,,Apache-2.0,,
JAVA,com.google.guava_21.0.0.v20170206-1425.jar,21.0.0.v20170206-1425,,EclipseFoundation,,EPL-1.0,,
JAVA,com.googlecode.json-simple_1.1.1.jar,1.1.1,,Google,,Apache-2.0,,
JAVA,com.h2_1.4.196.jar,1.4.196,,h2group,,EPL-1.0,MPL-2.0,
JAVA,com.ibm.db2_4.19.49.jar,4.19.49,,TODO,,NLIL,,
JAVA,com.ibm.icu_58.2.0.v20170418-1837.jar,58.2.0.v20170418-1837,,EclipseFoundation,,EPL-1.0,,
JAVA,com.jcraft.jsch_0.1.54.v20170116-1932.jar,0.1.54.v20170116-1932,,EclipseFoundation,,EPL-1.0,,
JAVA,com.lowagie.text.source_2.1.7.v201004222200.jar,2.1.7.v201004222200,,EclipseFoundation,,EPL-1.0,,
JAVA,com.lowagie.text_2.1.7.v201004222200.jar,2.1.7.v201004222200,,EclipseFoundation,,EPL-1.0,,
JAVA,com.sun.mail.javax.mail_1.6.2.jar,1.6.2,,Oracle,,GPL_CDDL_CPE,,
JAVA,commons-beanutils.jar,1.6,,apache,,Apache-2.0,,
